trick_number,trick_name,stance,part,caption_timestamp
38,switch 360 flip,Switch,1,2:55.0
39,fakie 360 flip,Fakie,1,2:58.0
40,nollie 360 flip,Nollie,1,3:00.0
41,varial flip,Regular,1,3:02.0
42,fakie varial flip,Fakie,1,3:05.0
43,switch varial flip,Switch,1,3:07.0
44,nollie varial flip,Nollie,1,3:10.0
45,backside shuv,Regular,1,3:12.0
46,fakie backside shuv,Fakie,1,3:14.0
47,nollie frontside shuv,Nollie,1,3:16.0
48,switch backside shuv,Switch,1,3:19.0
49,frontside shuv,Regular,1,3:21.0
50,fakie frontside shuv,Fakie,1,3:23.0
51,nollie backside shuv,Nollie,1,3:25.0
52,switch frontside shuv,Switch,1,3:27.0
53,backside bigspin flip,Regular,1,3:29.0
54,fakie backside bigspin flip,Fakie,1,3:32.0
55,nollie frontside bigspin flip,Nollie,1,3:34.0
56,switch backside bigspin flip,Switch,1,3:37.0
57,backside bigspin,Regular,1,3:41.0
58,fakie backside bigspin,Fakie,1,3:43.0
59,nollie frontside bigspin,Nollie,1,3:45.0
60,switch backside bigspin,Switch,1,3:47.0
61,frontside bigspin,Regular,1,3:50.0
62,fakie frontside bigspin,Fakie,1,3:52.0
63,nollie backside bigspin,Nollie,1,3:55.0
64,switch frontside bigspin,Switch,1,3:58.0
65,varial heelflip,Regular,1,4:00.0
66,fakie varial heelflip,Fakie,1,4:02.0
67,nollie varial heelflip,Nollie,1,4:04.0
68,switch varial heelflip,Switch,1,4:07.0
69,inward heelflip,Regular,1,4:09.0
70,fakie inward heelflip,Fakie,1,4:12.0
71,nollie inward heelflip,Nollie,1,4:14.0
72,switch inward heelflip,Switch,1,4:17.0
73,hardflip,Regular,1,4:19.0
74,nollie hardflip,Nollie,1,4:21.0
75,fakie hardflip,Fakie,1,4:24.0
76,switch hardflip,Switch,1,4:26.0
77,360 backside shuv,Regular,1,4:29.0
78,fakie 360 backside shuv,Fakie,1,4:32.0
79,nollie 360 frontside shuv,Nollie,1,4:34.0
80,switch 360 backside shuv,Switch,1,4:36.0
81,360 frontside shuv,Regular,1,4:39.0
82,fakie 360 frontside shuv,Fakie,1,4:41.0
83,nollie 360 backside shuv,Nollie,1,4:44.0
84,switch 360 frontside shuv,Switch,1,4:46.0
85,frontside 360,Regular,1,4:48.0
86,backside 360,Regular,1,4:51.0
87,fakie frontside 360,Fakie,1,4:53.0
88,fakie backside 360,Fakie,1,4:56.0
89,switch frontside 360,Switch,1,5:00.0
90,nollie backside 360,Nollie,1,5:02.0
91,nollie frontside 360,Nollie,1,5:05.0
92,switch backside 360,Switch,1,5:07.0
93,frontside bigspin heelflip,Regular,1,5:10.0
94,fakie frontside bigspin heelflip,Fakie,1,5:13.0
95,nollie backside bigspin heelflip,Nollie,1,5:15.0
96,switch frontside bigspin heelflip,Switch,1,5:17.0
97,lazer flip,Regular,1,5:20.0
98,fakie lazer flip,Fakie,1,5:22.0
99,nollie lazer flip,Nollie,1,5:24.0
100,switch lazer flip,Switch,1,5:27.0
101,backside biggerspin,Regular,2,0:18.0
102,fakie backside biggerspin,Fakie,2,0:20.0
103,540 backside shuv,Regular,2,0:22.0
104,fakie 540 backside shuv,Fakie,2,0:24.0
105,fakie 540 backside shuv 180,Fakie,2,0:25.0
106,540 flip,Regular,2,0:29.0
107,fakie 540 flip,Fakie,2,0:31.0
108,fakie backside biggerspin flip,Fakie,2,0:35.0
109,backside biggerspin flip,Regular,2,0:41.0
110,fakie backside gazelle spin,Fakie,2,0:43.0
111,backside gazelle flip,Regular,2,0:45.0
112,fakie backside gazelle flip,Fakie,2,0:47.0
113,fakie backside 360 shuv frontside body varial,Fakie,2,0:49.0
114,360 inward heelflip,Regular,2,0:51.0
115,backside 360 shuv frontside body varial,Regular,2,0:53.0
116,pressure flip,Regular,2,0:55.0
117,fakie pressure flip,Fakie,2,0:57.0
118,switch pressure flip,Switch,2,0:59.0
119,nollie pressure flip,Nollie,2,1:00.0
120,forward flip,Regular,2,1:02.0
121,fakie frontside impossible bigspin,Fakie,2,1:03.0
122,double kickflip,Regular,2,1:05.0
123,fakie double kickflip,Fakie,2,1:07.0
124,switch double kickflip,Switch,2,1:08.0
125,nollie double kickflip,Nollie,2,1:10.0
126,double heelflip,Regular,2,1:12.0
127,fakie double heelflip,Fakie,2,1:14.0
128,switch double heelflip,Switch,2,1:16.0
129,nollie double heelflip,Nollie,2,1:17.0
130,switch frontside 360 half front foot impossible,Switch,2,1:20.0
131,kickflip frontside body varial,Regular,2,1:25.0
132,kickflip backside body varial,Regular,2,1:26.0
133,fakie kickflip backside body varial,Fakie,2,1:28.0
134,fakie kickflip frontside body varial,Fakie,2,1:29.0
135,switch kickflip frontside body varial,Switch,2,1:31.0
136,switch kickflip backside body varial,Switch,2,1:33.0
137,nollie kickflip backside body varial,Nollie,2,1:35.0
138,nollie kickflip frontside body varial,Nollie,2,1:37.0
139,pressure heelflip,Regular,2,1:39.0
140,pressure heelflip frontside body varial,Regular,2,1:40.0
141,backside pressure heelflip,Regular,2,1:42.0
142,pressure kickflip,Regular,2,1:44.0
143,pressure double flip,Regular,2,1:46.0
144,frontside impossible,Regular,2,1:47.0
145,fakie forward flip,Fakie,2,1:52.0
146,forward double flip,Regular,2,1:54.0
147,fakie forward double flip,Fakie,2,1:55.0
148,varial double flip,Regular,2,1:57.0
149,varial triple flip,Regular,2,1:58.0
150,fakie varial double flip,Fakie,2,2:01.0
151,fakie varial triple flip,Fakie,2,2:03.0
152,varial double heelflip,Regular,2,2:08.0
153,fakie varial double heelflip,Fakie,2,2:10.0
154,360 pressure flip,Regular,2,2:12.0
155,backside bigspin pressure flip,Regular,2,2:14.0
156,inward double heelflip,Regular,2,2:16.0
157,hard double flip,Regular,2,2:18.0
158,fakie hard double flip,Fakie,2,2:21.0
159,impossible,Regular,2,2:23.0
160,fakie impossible,Fakie,2,2:25.0
161,switch impossible,Switch,2,2:27.0
162,nollie impossible,Nollie,2,2:29.0
163,backside half impossible bigspin,Regular,2,2:31.0
164,feather flip,Regular,2,2:33.0
165,fakie feather flip,Fakie,2,2:35.0
166,switch feather flip,Switch,2,2:37.0
167,nollie feather flip,Nollie,2,2:39.0
168,feather flip frontside 180,Regular,2,2:43.0
169,backside double kickflip,Regular,2,2:47.0
170,fakie backside double kickflip,Fakie,2,2:49.0
171,backside double heelflip,Regular,2,2:51.0
172,fakie backside double heelflip,Fakie,2,2:54.0
173,frontside double kickflip,Regular,2,2:59.0
174,fakie frontside biggerspin,Fakie,2,3:01.0
175,fakie frontside double kickflip,Fakie,2,3:04.0
176,fakie frontside double heelflip,Fakie,2,3:06.0
177,fakie frontside 360 heelflip,Fakie,2,3:08.0
178,frontside double heelflip,Regular,2,3:14.0
179,frontside 360 heelflip,Regular,2,3:18.0
180,ollie crossfoot,Regular,2,3:21.0
181,frontside impossible bigspin,Regular,2,3:24.0
182,forward heelflip,Regular,2,3:27.0
183,fakie forward heelflip,Fakie,2,3:32.0
184,pressure hardflip,Regular,2,3:35.0
185,360 pressure hardflip,Regular,2,3:37.0
186,frontside bigspin pressure hardflip,Regular,2,3:41.0
187,fakie pressure hardflip,Fakie,2,3:44.0
188,backside gazelle spin,Regular,2,3:46.0
189,switch inward double heelflip,Switch,2,3:51.0
190,feather flip frontside shuv,Regular,2,3:53.0
191,heelflip backside body varial,Regular,2,3:55.0
192,heelflip frontside body varial,Regular,2,3:57.0
193,fakie heelflip backside body varial,Fakie,2,3:59.0
194,fakie heelflip frontside body varial,Fakie,2,4:01.0
195,fakie 360 inward heelflip,Fakie,2,4:07.0
196,nollie heelflip backside body varial,Nollie,2,4:12.0
197,nollie heelflip frontside body varial,Nollie,2,4:15.0
198,switch heelflip frontside body varial,Switch,2,4:16.0
199,switch heelflip backside body varial,Switch,2,4:19.0
200,varial half flip anti casper flip,Regular,2,4:21.0
201,frontside gazelle spin,Regular,3,0:01.8
202,fakie frontside gazelle spin,Fakie,3,0:04.5
203,nollie frontside biggerspin,Nollie,3,0:07.0
204,nollie frontside 540 shuv,Nollie,3,0:08.9
205,nollie backside 360 shuv underflip,Nollie,3,0:11.4
206,nollie backside biggerspin underflip,Nollie,3,0:16.6
207,nollie backside 180 hospital heel,Nollie,3,0:21.3
208,switch backside biggerspin,Switch,3,0:24.2
209,switch pressure hardflip,Switch,3,0:26.7
210,switch pressure frontside flip,Switch,3,0:28.5
211,switch frontside shuv late front foot heelflip,Switch,3,0:30.6
212,fakie ollie crossfoot,Fakie,3,0:36.4
213,impossible crossfoot,Regular,3,0:39.1
214,pressure flip anti casper flip,Regular,3,0:41.1
215,frontside shuv late front foot heelflip,Regular,3,0:47.4
216,switch hard double flip,Switch,3,1:02.6
217,triple heelflip,Regular,3,1:09.3
218,ollie frontside body varial,Regular,3,1:14.3
219,ollie backside body varial,Regular,3,1:15.8
220,fakie ollie backside body varial,Fakie,3,1:17.8
221,fakie ollie frontside body varial,Fakie,3,1:19.5
222,switch frontside bigspin flip,Switch,3,1:21.7
223,hardflip backside 180,Regular,3,1:26.6
224,fakie hardflip backside 180,Fakie,3,1:28.6
225,hardflip late shuv,Regular,3,1:31.0
226,fakie triple heelflip,Fakie,3,1:35.8
227,switch late flip,Switch,3,1:38.3
228,nollie late flip,Nollie,3,1:40.9
229,varial half flip cancel flip,Regular,3,1:42.8
230,fakie 360 pressure flip,Fakie,3,1:44.5
231,fakie bigspin pressure flip,Fakie,3,1:46.8
232,fakie pressure flip rewind,Fakie,3,1:49.1
233,late hardflip,Regular,3,1:51.3
234,fakie hardflip late shuv,Fakie,3,1:56.8
235,frontside late flip,Regular,3,1:59.7
236,front foot impossible,Regular,3,2:04.4
237,fakie front foot impossible,Fakie,3,2:08.7
238,fakie frontside 180 front foot impossible,Fakie,3,2:11.4
239,switch front foot impossible,Switch,3,2:13.9
240,nollie front foot impossible,Nollie,3,2:16.9
241,nollie backside 180 front foot impossible,Nollie,3,2:21.0
242,nollie backside 360 front foot impossible,Nollie,3,2:25.6
243,pressure flip rewind,Regular,3,2:32.2
244,pressure flip frontside body varial,Regular,3,2:34.0
245,varial heelflip backside body varial,Regular,3,2:35.9
246,backside shuv late flip,Regular,3,2:37.9
247,frontside shuv late flip,Regular,3,2:40.1
248,frontside bigspin late flip,Regular,3,2:42.6
249,frontside bigspin late double flip,Regular,3,2:46.7
250,casper flip,Regular,3,2:53.1
251,fakie casper flip,Fakie,3,2:56.7
252,switch casper flip,Switch,3,2:59.1
253,nollie casper flip,Nollie,3,3:02.7
254,360 casper flip,Regular,3,3:04.9
255,casper flip bigspin,Regular,3,3:10.8
256,late inward heelflip,Regular,3,3:13.3
257,360 shuv underflip,Regular,3,3:17.2
258,backside bigspin underflip,Regular,3,3:19.4
259,360 shuv under double flip,Regular,3,3:21.4
260,late flip,Regular,3,3:23.8
261,fakie late flip,Fakie,3,3:25.8
262,fakie frontside late flip,Fakie,3,3:28.1
263,late heelflip,Regular,3,3:29.9
264,nollie backside body varial,Nollie,3,3:32.2
265,nollie frontside body varial,Nollie,3,3:34.3
266,switch ollie frontside body varial,Switch,3,3:36.3
267,switch ollie backside body varial,Switch,3,3:38.3
268,backside shuv underflip,Regular,3,3:40.5
269,fakie casper flip bigspin,Fakie,3,3:42.2
270,switch bigspin double flip,Switch,3,3:47.5
271,frontside shuv rewind,Regular,3,3:50.5
272,switch backside shuv rewind,Switch,3,3:52.6
273,backside shuv rewind,Regular,3,3:54.3
274,switch frontside shuv rewind,Switch,3,3:55.9
275,fakie backside late flip,Fakie,3,3:57.9
276,backside late flip,Regular,3,4:00.0
277,fakie backside late double flip,Fakie,3,4:03.6
278,fakie double heelflip backside body varial,Fakie,3,4:09.4
279,anti bigspin heelflip,Regular,3,4:11.4
280,fakie anti bigspin heelflip,Fakie,3,4:13.9
281,late 360 inward heelflip,Regular,3,4:18.1
282,switch 360 double flip,Switch,3,4:23.6
283,impossible body varial,Regular,3,4:26.0
